team_id,date,GD,pastgame_GD
8634,2008-09-27 00:00:00,1,1.75
8650,2008-09-27 00:00:00,2,0.75
8654,2008-09-27 00:00:00,1,1.25
8655,2008-09-27 00:00:00,1,-1.25
8659,2008-09-27 00:00:00,1,0.25
8667,2008-09-27 00:00:00,1,-0.75
9788,2008-09-27 00:00:00,-1,-1.25
9823,2008-09-27 00:00:00,-1,0.5
9885,2008-09-27 00:00:00,0,0.5
10205,2008-09-27 00:00:00,1,1.25
10233,2008-09-27 00:00:00,-1,0.5
10269,2008-09-27 00:00:00,-3,0.25
8177,2008-09-27 00:00:00,-1,-0.75
8535,2008-09-27 00:00:00,1,-0.5
8549,2008-09-27 00:00:00,-1,-0.75
8558,2008-09-27 00:00:00,-1,-0.5
8603,2008-09-27 00:00:00,-1,-0.5
8668,2008-09-27 00:00:00,-2,-1.0
8697,2008-09-27 00:00:00,1,1.5
9789,2008-09-27 00:00:00,3,0.25
9790,2008-09-27 00:00:00,1,0.25
9825,2008-09-27 00:00:00,-1,2.0
9869,2008-09-27 00:00:00,-1,-3.25
9879,2008-09-27 00:00:00,-1,0.0
9882,2008-09-27 00:00:00,0,-0.5
9904,2008-09-27 00:00:00,1,-0.25
9911,2008-09-27 00:00:00,-1,0.0
10194,2008-09-27 00:00:00,-2,-1.0
10252,2008-09-27 00:00:00,1,0.75
10260,2008-09-27 00:00:00,2,0.5
10261,2008-09-27 00:00:00,-1,-1.75
8302,2008-09-28 00:00:00,1,1.0
8305,2008-09-28 00:00:00,1,0.0
8371,2008-09-28 00:00:00,0,-0.25
8456,2008-09-28 00:00:00,-1,1.5
8479,2008-09-28 00:00:00,-1,-1.5
8524,2008-09-28 00:00:00,-2,-0.25
8529,2008-09-28 00:00:00,-2,-1.5
8533,2008-09-28 00:00:00,-1,-0.75
8543,2008-09-28 00:00:00,2,1.0
8551,2008-09-28 00:00:00,-1,0.25
8586,2008-09-28 00:00:00,-2,-0.75
8636,2008-09-28 00:00:00,-1,0.75
8661,2008-09-28 00:00:00,1,0.75
8690,2008-09-28 00:00:00,-1,-1.25
8721,2008-09-28 00:00:00,-1,0.5
9783,2008-09-28 00:00:00,-2,-0.75
9875,2008-09-28 00:00:00,1,0.75
9912,2008-09-28 00:00:00,0,-0.5
10281,2008-09-28 00:00:00,-1,0.0
8295,2008-09-28 00:00:00,1,-1.0
8315,2008-09-28 00:00:00,-1,0.25
8388,2008-09-28 00:00:00,0,-1.0
8462,2008-09-28 00:00:00,2,0.0
8528,2008-09-28 00:00:00,1,1.5
8530,2008-09-28 00:00:00,1,0.25
8540,2008-09-28 00:00:00,1,0.75
8564,2008-09-28 00:00:00,1,0.75
8600,2008-09-28 00:00:00,1,0.75
8686,2008-09-28 00:00:00,2,0.25
8696,2008-09-28 00:00:00,-1,-1.25
9804,2008-09-28 00:00:00,-2,-1.0
9810,2008-09-28 00:00:00,0,-0.25
9857,2008-09-28 00:00:00,-1,-1.5
9864,2008-09-28 00:00:00,1,-0.5
9865,2008-09-28 00:00:00,1,0.0
9888,2008-09-28 00:00:00,2,0.75
9906,2008-09-28 00:00:00,-1,0.75
10267,2008-09-28 00:00:00,2,1.25
8295,2008-10-03 00:00:00,1,-0.5
9912,2008-10-03 00:00:00,-1,-0.25
8177,2008-10-04 00:00:00,1,0.25
8549,2008-10-04 00:00:00,1,-0.75
8603,2008-10-04 00:00:00,-1,-0.75
8697,2008-10-04 00:00:00,-3,1.0
8722,2008-10-04 00:00:00,1,-0.75
9810,2008-10-04 00:00:00,-1,-0.5
9825,2008-10-04 00:00:00,0,1.25
9857,2008-10-04 00:00:00,-1,-1.5
9879,2008-10-04 00:00:00,-1,-0.5
9888,2008-10-04 00:00:00,0,0.25
9906,2008-10-04 00:00:00,-5,-0.25
9911,2008-10-04 00:00:00,0,0.25
10260,2008-10-04 00:00:00,2,0.75
8178,2008-10-04 00:00:00,-1,0.75
8226,2008-10-04 00:00:00,1,0.75
8472,2008-10-04 00:00:00,0,0.25
8528,2008-10-04 00:00:00,-1,0.0
8543,2008-10-04 00:00:00,0,0.5
8634,2008-10-04 00:00:00,5,3.0
8636,2008-10-04 00:00:00,1,0.75
8655,2008-10-04 00:00:00,-2,-1.0
8659,2008-10-04 00:00:00,1,0.5
9788,2008-10-04 00:00:00,-1,-1.75
9823,2008-10-04 00:00:00,0,-0.25
10205,2008-10-04 00:00:00,1,1.25
10269,2008-10-04 00:00:00,3,0.5
8315,2008-10-05 00:00:00,-4,-0.75
8388,2008-10-05 00:00:00,-1,-1.0
8530,2008-10-05 00:00:00,0,0.5
8535,2008-10-05 00:00:00,2,0.25
8540,2008-10-05 00:00:00,1,0.5
8558,2008-10-05 00:00:00,0,-0.75
8559,2008-10-05 00:00:00,2,-0.75
8564,2008-10-05 00:00:00,0,1.25
8650,2008-10-05 00:00:00,1,1.0
8667,2008-10-05 00:00:00,1,0.75
8686,2008-10-05 00:00:00,-1,0.5
8696,2008-10-05 00:00:00,1,-1.0
8721,2008-10-05 00:00:00,0,0.5
9790,2008-10-05 00:00:00,1,0.0
9804,2008-10-05 00:00:00,-2,-1.5
9864,2008-10-05 00:00:00,4,0.5
9865,2008-10-05 00:00:00,0,0.0
9869,2008-10-05 00:00:00,2,-2.5
9875,2008-10-05 00:00:00,-1,0.25
9882,2008-10-05 00:00:00,-2,-0.5
9904,2008-10-05 00:00:00,0,0.25
10194,2008-10-05 00:00:00,-1,-1.0
10252,2008-10-05 00:00:00,-2,0.25
10261,2008-10-05 00:00:00,0,-1.0
10267,2008-10-05 00:00:00,1,1.5
8302,2008-10-05 00:00:00,4,1.75
8305,2008-10-05 00:00:00,0,0.0
8371,2008-10-05 00:00:00,-1,-0.5
8398,2008-10-05 00:00:00,-1,-0.75
8455,2008-10-05 00:00:00,2,1.5
8456,2008-10-05 00:00:00,-1,0.5
8462,2008-10-05 00:00:00,1,-0.5
8479,2008-10-05 00:00:00,-4,-2.25
8524,2008-10-05 00:00:00,2,0.0
8529,2008-10-05 00:00:00,0,-1.0
8533,2008-10-05 00:00:00,-2,-0.75
8551,2008-10-05 00:00:00,1,0.0
8586,2008-10-05 00:00:00,-1,-1.0
8600,2008-10-05 00:00:00,2,1.5
8633,2008-10-05 00:00:00,0,2.25
8654,2008-10-05 00:00:00,-2,0.0
8661,2008-10-05 00:00:00,-2,0.25
8668,2008-10-05 00:00:00,0,-0.25
8690,2008-10-05 00:00:00,0,-1.25
9783,2008-10-05 00:00:00,1,-0.25
9789,2008-10-05 00:00:00,0,0.0
9885,2008-10-05 00:00:00,-1,0.0
10189,2008-10-05 00:00:00,0,0.0
10233,2008-10-05 00:00:00,1,0.25
10281,2008-10-05 00:00:00,-1,-0.5
9788,2008-10-17 00:00:00,0,-0.75
9911,2008-10-17 00:00:00,0,-0.25
8178,2008-10-18 00:00:00,2,1.5
8226,2008-10-18 00:00:00,3,1.5
8398,2008-10-18 00:00:00,-1,-0.25
8455,2008-10-18 00:00:00,5,2.25
8462,2008-10-18 00:00:00,0,-0.75
8472,2008-10-18 00:00:00,0,0.25
8528,2008-10-18 00:00:00,-1,-0.25
8633,2008-10-18 00:00:00,1,2.0
8655,2008-10-18 00:00:00,0,0.0
8659,2008-10-18 00:00:00,-4,-0.75
8668,2008-10-18 00:00:00,-2,-1.0
8690,2008-10-18 00:00:00,-3,-1.25
9789,2008-10-18 00:00:00,0,0.0
9823,2008-10-18 00:00:00,1,-0.75
9885,2008-10-18 00:00:00,-1,-0.5
9912,2008-10-18 00:00:00,-3,-0.5
10205,2008-10-18 00:00:00,0,1.0
10269,2008-10-18 00:00:00,-1,0.25
8177,2008-10-18 00:00:00,1,0.5
8295,2008-10-18 00:00:00,-1,-0.25
8535,2008-10-18 00:00:00,3,0.75
8549,2008-10-18 00:00:00,-5,-1.75
8558,2008-10-18 00:00:00,0,-0.75
8559,2008-10-18 00:00:00,0,-0.5
8650,2008-10-18 00:00:00,1,1.0
8697,2008-10-18 00:00:00,0,0.25
8721,2008-10-18 00:00:00,3,1.25
8722,2008-10-18 00:00:00,1,0.25
9810,2008-10-18 00:00:00,-2,-1.0
9825,2008-10-18 00:00:00,2,0.75
9875,2008-10-18 00:00:00,1,0.5
9879,2008-10-18 00:00:00,0,-0.75
9904,2008-10-18 00:00:00,-3,-1.5
9906,2008-10-18 00:00:00,-1,-1.5
10252,2008-10-18 00:00:00,0,0.0
10260,2008-10-18 00:00:00,4,2.0
8302,2008-10-19 00:00:00,1,2.0
8305,2008-10-19 00:00:00,-1,-0.25
8371,2008-10-19 00:00:00,-1,-0.5
8388,2008-10-19 00:00:00,-4,-1.75
8479,2008-10-19 00:00:00,0,-1.25
8524,2008-10-19 00:00:00,0,0.25
8529,2008-10-19 00:00:00,1,-0.5
8540,2008-10-19 00:00:00,-2,-0.25
8543,2008-10-19 00:00:00,-2,0.75
8551,2008-10-19 00:00:00,-1,-0.25
8586,2008-10-19 00:00:00,-1,-1.0
8600,2008-10-19 00:00:00,0,1.5
8634,2008-10-19 00:00:00,1,2.0
8636,2008-10-19 00:00:00,4,1.25
8654,2008-10-19 00:00:00,-1,0.0
8661,2008-10-19 00:00:00,-3,-0.5
9783,2008-10-19 00:00:00,0,-0.25
9882,2008-10-19 00:00:00,-3,-1.25
10189,2008-10-19 00:00:00,0,0.0
8315,2008-10-19 00:00:00,-1,-1.5
8530,2008-10-19 00:00:00,2,0.75
8533,2008-10-19 00:00:00,0,-0.75
8564,2008-10-19 00:00:00,3,1.25
8603,2008-10-19 00:00:00,3,0.0
8667,2008-10-19 00:00:00,1,0.75
8686,2008-10-19 00:00:00,-4,-1.25
8696,2008-10-19 00:00:00,0,-0.5
9790,2008-10-19 00:00:00,0,-0.25
9804,2008-10-19 00:00:00,-1,-1.25
9857,2008-10-19 00:00:00,2,-0.75
9864,2008-10-19 00:00:00,1,1.0
9865,2008-10-19 00:00:00,-1,-0.5
9869,2008-10-19 00:00:00,1,-1.0
9888,2008-10-19 00:00:00,0,0.25
10194,2008-10-19 00:00:00,1,-0.5
10233,2008-10-19 00:00:00,1,0.75
10267,2008-10-19 00:00:00,4,2.25
10281,2008-10-19 00:00:00,0,0.0
8456,2008-10-20 00:00:00,0,1.0
10261,2008-10-20 00:00:00,0,-0.75
8295,2008-10-22 00:00:00,-1,0.0
9810,2008-10-22 00:00:00,1,-0.5
8722,2008-10-24 00:00:00,-2,0.25
8178,2008-10-24 00:00:00,2,1.0
8295,2008-10-25 00:00:00,-1,-0.5
8530,2008-10-25 00:00:00,0,0.75
8549,2008-10-25 00:00:00,0,-1.25
8603,2008-10-25 00:00:00,2,0.75
8667,2008-10-25 00:00:00,3,1.5
8697,2008-10-25 00:00:00,0,-0.5
8721,2008-10-25 00:00:00,-2,0.0
9804,2008-10-25 00:00:00,-1,-1.5
9810,2008-10-25 00:00:00,1,-0.25
9865,2008-10-25 00:00:00,-5,-1.25
9912,2008-10-25 00:00:00,0,-1.0
10260,2008-10-25 00:00:00,0,2.0
10261,2008-10-25 00:00:00,-1,-0.5
8371,2008-10-25 00:00:00,-2,-1.0
8398,2008-10-25 00:00:00,-1,-0.5
8472,2008-10-25 00:00:00,1,0.0
8551,2008-10-25 00:00:00,0,-0.25
8634,2008-10-25 00:00:00,5,3.0
8655,2008-10-25 00:00:00,0,-0.25
8659,2008-10-25 00:00:00,-3,-1.25
8668,2008-10-25 00:00:00,0,-1.0
9788,2008-10-25 00:00:00,1,-0.25
9823,2008-10-25 00:00:00,2,0.5
9885,2008-10-25 00:00:00,1,-0.25
9904,2008-10-25 00:00:00,0,-0.5
10189,2008-10-25 00:00:00,0,-0.25
8177,2008-10-26 00:00:00,0,0.25
8315,2008-10-26 00:00:00,-1,-1.75
8533,2008-10-26 00:00:00,-2,-1.25
8535,2008-10-26 00:00:00,2,2.0
8558,2008-10-26 00:00:00,-3,-1.0
8559,2008-10-26 00:00:00,-2,-0.5
8564,2008-10-26 00:00:00,1,1.25
8650,2008-10-26 00:00:00,1,1.25
8686,2008-10-26 00:00:00,-2,-1.25
8696,2008-10-26 00:00:00,-1,-0.25
9790,2008-10-26 00:00:00,-3,-0.25
9825,2008-10-26 00:00:00,2,0.75
9857,2008-10-26 00:00:00,-2,-0.5
9864,2008-10-26 00:00:00,1,1.75
9869,2008-10-26 00:00:00,3,1.25
9875,2008-10-26 00:00:00,1,0.5
9879,2008-10-26 00:00:00,0,-0.5
9888,2008-10-26 00:00:00,-2,0.0
9906,2008-10-26 00:00:00,0,-1.75
9911,2008-10-26 00:00:00,-2,-0.75
10194,2008-10-26 00:00:00,-3,-1.25
10233,2008-10-26 00:00:00,0,0.25
10252,2008-10-26 00:00:00,4,0.75
10267,2008-10-26 00:00:00,0,1.75
10281,2008-10-26 00:00:00,-1,-0.75
8226,2008-10-26 00:00:00,3,1.5
8302,2008-10-26 00:00:00,-1,1.25
8305,2008-10-26 00:00:00,1,0.25
8388,2008-10-26 00:00:00,1,-1.0
8455,2008-10-26 00:00:00,-1,2.0
8456,2008-10-26 00:00:00,3,0.25
8462,2008-10-26 00:00:00,0,0.75
8479,2008-10-26 00:00:00,0,-1.25
8524,2008-10-26 00:00:00,-1,-0.25
8528,2008-10-26 00:00:00,-4,-1.25
8529,2008-10-26 00:00:00,2,0.25
8540,2008-10-26 00:00:00,-2,-0.5
8543,2008-10-26 00:00:00,-1,-0.25
8586,2008-10-26 00:00:00,2,-0.5
8600,2008-10-26 00:00:00,2,1.25
8633,2008-10-26 00:00:00,1,0.75
8636,2008-10-26 00:00:00,0,1.0
8654,2008-10-26 00:00:00,-2,-1.0
8661,2008-10-26 00:00:00,3,-0.25
8690,2008-10-26 00:00:00,2,-0.5
9783,2008-10-26 00:00:00,-3,-1.0
9789,2008-10-26 00:00:00,0,0.75
9882,2008-10-26 00:00:00,2,-0.75
10205,2008-10-26 00:00:00,0,0.5
10269,2008-10-26 00:00:00,2,0.25
8178,2008-10-28 00:00:00,2,1.25
8398,2008-10-28 00:00:00,0,-0.75
8659,2008-10-28 00:00:00,-1,-1.75
9788,2008-10-28 00:00:00,-3,-0.75
10189,2008-10-28 00:00:00,3,0.75
8295,2008-10-28 00:00:00,-3,-1.5
8697,2008-10-28 00:00:00,-2,-1.25
8721,2008-10-28 00:00:00,3,1.0
9912,2008-10-28 00:00:00,0,-1.0
10261,2008-10-28 00:00:00,1,0.0
