pastgame_GD,Fitted
-4.5,-4.190391226488448
-4.25,-3.966788699371339
-3.75,-3.5206624405299016
-3.75,-3.5206624405299016
-3.75,-3.5206624405299016
-3.5,-3.296470452534812
-3.5,-3.296470452534812
-3.25,-3.070593948830609
-3.25,-3.070593948830609
-3.25,-3.070593948830609
-3.25,-3.070593948830609
-3.25,-3.070593948830609
-3.25,-3.070593948830609
-3.25,-3.070593948830609
-3.25,-3.070593948830609
-3.25,-3.070593948830609
-3.25,-3.070593948830609
-3.25,-3.070593948830609
-3.25,-3.070593948830609
-3.0,-2.842730289644557
-3.0,-2.842730289644557
-3.0,-2.842730289644557
-3.0,-2.842730289644557
-3.0,-2.842730289644557
-3.0,-2.842730289644557
-3.0,-2.842730289644557
-3.0,-2.842730289644557
-3.0,-2.842730289644557
-3.0,-2.842730289644557
-3.0,-2.842730289644557
-3.0,-2.842730289644557
-3.0,-2.842730289644557
-3.0,-2.842730289644557
-3.0,-2.842730289644557
-3.0,-2.842730289644557
-3.0,-2.842730289644557
-3.0,-2.842730289644557
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.75,-2.6144097729045646
-2.5,-2.3875087861290356
